359	I found this newer version of Little Women almost as wonderful as the older version. I loved the fact that they still kept the scenes quite snowey and the "era" very intact. It got a little long winded in a few scenes but the movie on a whole was very well done and moved along with the story.If you are a Little Women fan you will fall in love with this new version as well. Enjoy!	4
360	The DVD I ordered came as promised and in good condition. However, the plastic it was wrapped in was all dusty and got some dust inside the DVD case. Then again, it was an older movie from the 90's probably stored somewhere for a while.	1
361	I loved this movie as a child and I still love it! I'm happy to have found it! I can't wait to share it with my daughter.	6
362	Not only is this film centered on the lives of four amazing women, the men are classy. They remind me of my family except we are Africans. I love that Jo finds someone who she is compatible with. No offense to Laurie, but she is better off with the professor. Great female movie. It made me proud to be a female. I also love that it is family-oriented. It was made very well, and will stand the test of time. One more thing, in addition to the main characters who clearly also loved their mother, there's a small father-daughter theme--the man who dashed Beth his daughter's piano, which is terrific. Two more things, they have good manners in this film, which is wonderful and they dressed them up really well. I love this movie so much.	1
363	Deep in the heart of Women lie secrets that we men will no more discover than a treasure chest in our back yard, yet despite that fact after seeing this film, I had a new understanding about the jewels women possess internally. Wynona Ryder, Claire Danes, Trini Alvarado, and Kirsten Dunst, play four sisters(Joe, Beth, Meg, and Amy) that live the role's of fantasy within a hardened reality.  Due to the tumultuous force of the Civil War, their family has fallen from a pedistol in society to the grand standing heights of togetherness and warmth within the means of their own spirits. Their father rages on the battle-front while Marmee (Susan Sarandon) keeps tight her little women from the casualties of daily life. Little Women inspired me in all ways that my emotions would allow, while all the while Thomas Newman's soundtracks gently guides you through the steps of their failures, triumphs, and hysteric's.  After countless viewings (35-55) it has stood against the test of time that sometimes fades the impact a movie creates. After 7 years Little Women still fascinates me as much as it did on my first viewing. Love, distrust, death, and creativity, within these, their bond's of family strength hold them.  There are lesson's to be learned if we are willing to open our own hearts to them. To our friends, Loves, and families, there is something to be gathered from these little women. That lesson is the importance of togetherness.  ~S.A.O.S.~	5
364	Anyone who loved the book will enjoy this movie just for the dazzling color roadshow of one's favorite scenes ("the Pickwick Club," etc.)  It would have had to be a miniseries a la ANNE OF GREEN GABLES to really be true to the book, but it was lovely to see so many favorites so rousingly played.Others have complained about the 1990s refraction of the story.  They're right, but Alcott probably wouldn't have minded.  I was able to overlook most of that.However, Claire Danes was so miscast I was unable to let go and really enjoy the film whenever she was in a scene.  Beth is supposed to be slight and physically fragile -- strapping Claire Danes looks like she's captain of her field hockey team!  Danes works hard at the character but she can't escape the sheer wrongness of her physical self.  She appears larger and stronger than any of her sisters or Marmee!  Thus instead of seeming competent, but shy and reserved, her Beth seems slightly retarded.	10
365	packege as discribed - highly recommend seller to all parties - was well priced within the market.  I love these older movies and find they relax me to sleep LOL which is a good thing I promise/	6
366	This movie is abousluty the best i first saw it when i was little a loved it its best i mad my mom reanted about 5 times then she finally brought it for me it is the best gret for ppl ages 1-100	2
367	Watched it with my wife (she begged and I felt obliged) and I enjoyed it. I'm a real man if it helps for those debating at the moment whether they will lose some masculinity watching this.	6
368	This is one of my favorite books and I love this movie.  Other versions are great with Katherine Hepburn and Liz Taylor but something about the cast with this movie makes it my fav version!	6
